TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 08:27 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
2023,2023,100.0000,2015,99.6045,8,828382,464008,56.0137

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VALOR UNIONISTA,PR,CAMBIO,AZUL,MLP,VICTORIA,VAMOS,PHG,BIEN,UR,P A N,PIN,FCN-NACION,COMITE CIVICO LA GOTA DE AGUA,PPN,FOPPA X LA CIUDAD,MI FAMILIA,CABAL,VIVA,PODEMOS,PODER,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
35,"Distrito Central",0,"Guatemala",1,4,400,6,17,54,0,4,6,0,4,3,0,2,1,2,0,1,0,1,48,0,1,2,21,1,43,217,10,0,227,0,227,--,399,172,217,227,227,Algún campo sin dato,1,9935910f5eca43346346b522385a67a5601a58c7b9470afa2a2bef99662265a2,25/06/2023 23:30:10,ESCANER
36,"Distrito Central",0,"Guatemala",1,4,400,9,14,57,0,2,6,1,5,14,1,1,0,3,0,1,1,3,50,0,2,4,13,1,42,230,14,1,245,0,245,0,400,155,230,245,245,,1,bebcd4834f02c0fd0697382a3542e281d253e47d9cd2fe409deb5dd49b2443bd,25/06/2023 23:53:30,ESCANER
37,"Distrito Central",0,"Guatemala",1,4,400,12,17,69,2,2,4,3,7,5,1,5,0,2,0,0,2,2,48,1,5,3,9,1,53,253,12,0,265,0,265,0,400,135,253,265,265,,1,50dde6788578f8c0c2c64b8f248d4fe9e2a2264c350780a21b5bd40bcf6c91c5,26/06/2023 03:18:14,ESCANER
38,"Distrito Central",0,"Guatemala",1,4,400,14,15,51,0,3,8,1,3,8,1,2,0,1,1,0,0,4,34,4,2,3,8,2,45,210,15,1,226,0,226,--,400,174,210,226,226,Algún campo sin dato,1,036c24a0bcaa27fc2c2c1d580ff92a250db2e584df5f13abe4b47052ae86a90d,26/06/2023 03:59:49,ESCANER
39,"Distrito Central",0,"Guatemala",1,4,400,9,16,73,1,6,7,1,6,5,0,3,0,2,1,0,0,0,35,2,2,4,8,1,34,216,11,1,228,0,228,--,400,172,216,228,228,Algún campo sin dato,1,398fee368de685d17c72622901ad8867e6c67debd84b36af6f9b768319aec6fa,26/06/2023 05:00:51,ESCANER
40,"Distrito Central",0,"Guatemala",1,4,400,10,13,74,0,2,5,2,9,5,0,4,1,2,1,0,0,1,57,1,6,1,6,1,54,255,17,2,274,0,274,--,400,126,255,274,274,Algún campo sin dato,1,1dce5fe86c965f2cd26c02c5054d19d8dfabe5f33c882fb9875d573f8e7c5ecb,26/06/2023 02:26:05,ESCANER
41,"Distrito Central",0,"Guatemala",1,4,400,14,12,69,1,8,6,4,4,8,2,0,0,3,1,1,0,2,54,0,1,2,6,1,48,247,13,0,260,0,260,--,400,140,247,260,260,Algún campo sin dato,1,cf987a5b3c9e98838cd763b0cdedd0edf5527313810448533e605f74c2996146,25/06/2023 23:27:37,ESCANER
42,"Distrito Central",0,"Guatemala",1,4,400,8,18,61,1,7,5,2,8,3,0,6,3,2,2,0,0,2,38,2,4,3,6,1,39,221,11,0,232,1,233,--,397,165,221,232,233,Algún campo sin dato,1,1619669c164c4cba6377c96def6d0c5d3655905aaa63baf66419e64ba31440ec,25/06/2023 22:38:33,ESCANER
43,"Distrito Central",0,"Guatemala",1,4,400,12,16,54,0,3,6,1,5,3,1,2,2,2,3,0,0,2,48,1,2,3,7,3,52,228,21,--,249,--,249,--,400,151,228,249,249,Algún campo sin dato,1,ac3a497b8ab56d54af2fcdec52e651e99b9c6ffdba3358895a220f9730306a42,25/06/2023 23:53:49,ESCANER
44,"Distrito Central",0,"Guatemala",1,4,400,16,15,70,1,3,7,2,4,12,1,2,1,2,0,1,0,2,39,1,2,2,13,0,35,231,14,2,247,0,247,--,400,153,231,247,247,Algún campo sin dato,1,f89fc550eaa0e02b9e3dad2c0efb480ebe630367fbaa37bcb4df93abbf4a3f1d,26/06/2023 00:33:28,ESCANER
45,"Distrito Central",0,"Guatemala",1,4,400,13,18,82,4,4,10,2,6,2,0,3,0,3,2,1,0,3,43,0,2,5,8,2,43,256,11,0,267,0,267,--,400,133,256,267,267,Algún campo sin dato,1,fbe193b78321f38614fc865a1beb6dcce2d01436eaecbf4cd10167daac14e6ba,25/06/2023 22:29:05,ESCANER
46,"Distrito Central",0,"Guatemala",1,5,400,16,12,73,0,4,3,4,2,6,0,4,1,1,1,2,0,1,54,1,3,3,16,1,51,259,14,0,273,0,273,--,397,124,259,273,273,Algún campo sin dato,1,59dddd174c0f05de907ce3746ee891b61b6d7bd6d2768f0f4aadf19e6153491d,26/06/2023 00:08:16,ESCANER
47,"Distrito Central",0,"Guatemala",1,5,400,15,11,49,0,1,5,0,6,0,3,5,0,2,1,0,2,3,43,0,4,6,8,0,50,214,22,1,237,0,237,--,400,163,214,237,237,Algún campo sin dato,1,97037953691d8e87c9310370bb3939ea287851eec07a9fc2cd2ee9cad80e0959,25/06/2023 23:47:14,ESCANER
48,"Distrito Central",0,"Guatemala",1,5,400,11,14,70,3,1,2,1,7,8,1,4,1,2,0,0,0,3,46,0,6,5,9,1,42,237,18,0,255,0,255,--,397,142,237,255,255,Algún campo sin dato,1,c1b58f7673cb3b63036720b0c8c7125013a80f6e30a402e30413fd36aeb03076,26/06/2023 00:07:48,ESCANER
49,"Distrito Central",0,"Guatemala",1,5,400,7,15,55,0,8,2,2,3,5,1,4,2,1,1,0,1,3,46,0,2,6,7,2,46,219,16,1,236,0,236,--,400,164,219,236,236,Algún campo sin dato,1,69cf95f2711d77fa47d278ba9df82f5312d3557aae05b4713c3feed617975ae9,26/06/2023 02:31:26,ESCANER
50,"Distrito Central",0,"Guatemala",1,5,400,12,21,61,2,3,6,4,7,3,1,3,1,1,1,0,0,4,38,0,3,4,8,2,52,237,17,0,254,0,254,--,397,143,237,254,254,Algún campo sin dato,1,8683f30f4a37eed489b2bcf752633d528b31897b23e25ffa35d9e016446e11b7,26/06/2023 02:03:22,ESCANER
51,"Distrito Central",0,"Guatemala",1,5,400,10,15,68,1,5,9,1,3,7,0,1,1,2,1,1,1,2,46,2,4,6,9,0,46,241,10,5,256,0,256,--,400,144,241,256,256,Algún campo sin dato,1,120f2b2e5b55f3be34ae57081a98ddd912d888b6ee651d10dee73128d01cb479,26/06/2023 01:07:39,ESCANER
52,"Distrito Central",0,"Guatemala",1,5,400,9,18,56,1,6,6,4,4,6,0,3,1,0,0,0,0,0,54,2,2,3,8,1,50,234,18,3,255,0,255,--,400,145,234,255,255,Algún campo sin dato,1,d36fc5fcde5f81526e19daf30e34ab34895b8b9298fc7e8e4399910f3c635d52,26/06/2023 00:41:33,ESCANER
53,"Distrito Central",0,"Guatemala",1,5,400,9,11,61,1,10,4,2,2,12,2,0,0,1,2,1,1,0,45,1,0,2,8,2,60,237,15,1,253,0,253,--,400,147,237,253,253,Algún campo sin dato,1,6cc500cf19ac7fc7dbe183e8bd6467bbec50e458da0ab9835cc5388746d105a3,25/06/2023 22:39:36,ESCANER
54,"Distrito Central",0,"Guatemala",1,5,400,12,20,62,2,5,3,2,3,9,2,4,0,2,1,3,0,1,43,0,1,5,20,0,45,245,24,2,271,0,271,--,400,129,245,271,271,Algún campo sin dato,1,bf7a385dbf6d41c40b93f68b95eafbd32406d465481947e3eb7bcd72aa6ad764,26/06/2023 01:57:07,ESCANER
55,"Distrito Central",0,"Guatemala",1,5,400,10,16,55,1,3,5,1,3,8,0,4,1,3,0,0,1,3,42,1,1,3,14,0,56,231,16,7,247,0,247,--,397,150,231,254,254,Sumas Asentadas sin cuadrar,1,30d4049948dc3e46653a98529df3a86d461f94e37438c66ee67ed3ce531095d1,26/06/2023 04:12:03,ESCANER
56,"Distrito Central",0,"Guatemala",1,5,400,10,14,48,0,7,5,2,5,8,0,5,2,2,0,2,0,4,47,1,0,2,9,1,45,219,13,2,234,0,234,--,400,166,219,234,234,Algún campo sin dato,1,1ea4c6a9e402b040a21d00b87b9602d056a0aa4be32dee15d257d940d41bbf03,26/06/2023 00:27:59,ESCANER
57,"Distrito Central",0,"Guatemala",1,5,400,14,12,58,0,4,5,3,0,7,2,2,2,0,1,0,1,1,39,1,1,6,13,1,55,228,14,5,247,0,247,--,400,153,228,247,247,Algún campo sin dato,1,030b275643099e2cb7f4a3b45ca04e7f3f99bea648f9e71155f1c6918fe1af68,26/06/2023 01:30:06,ESCANER
58,"Distrito Central",0,"Guatemala",1,5,400,15,22,69,1,2,5,0,2,5,0,1,1,3,0,1,1,1,41,0,1,5,10,0,47,233,16,1,250,0,250,--,400,150,233,250,250,Algún campo sin dato,1,8a81386cec0455f754e2a82445b9e8d480af4da6192ab9c999bafd82c7a2e64f,25/06/2023 23:58:22,ESCANER
59,"Distrito Central",0,"Guatemala",1,5,400,9,14,57,1,1,9,2,2,1,2,4,0,1,1,2,0,1,50,0,3,4,11,2,52,229,12,0,241,0,241,--,400,159,229,241,241,Algún campo sin dato,1,33aa37090703ac7d1d364a3ba7a00fc98155053a0a735ed0907125315891f7f8,26/06/2023 01:44:56,ESCANER
60,"Distrito Central",0,"Guatemala",1,5,400,9,15,61,0,8,4,1,6,3,1,1,0,3,0,1,1,0,48,1,0,3,14,0,48,228,12,1,241,0,241,--,400,159,228,241,241,Algún campo sin dato,1,117049e3eb655848081bfd8a53b60c8b5346e42c6109df4b926ad79036a95aba,25/06/2023 22:05:44,ESCANER
61,"Distrito Central",0,"Guatemala",1,5,400,9,19,53,2,4,10,1,3,4,1,2,1,1,2,1,0,1,37,3,4,3,9,4,40,214,12,0,226,0,226,--,400,174,214,226,226,Algún campo sin dato,1,65b403fbde1aba74c9b9b4226928f94c69d61c18eaec3ee9a7a5e5a10c530098,25/06/2023 22:28:10,ESCANER
62,"Distrito Central",0,"Guatemala",1,5,400,5,13,53,2,4,5,3,2,6,0,2,0,1,1,1,0,2,38,0,4,5,14,1,39,201,21,0,222,0,222,0,400,178,201,222,222,,1,e7f1ec642d7903df84540f53caa9a42e8c3a7d85a2d9cccd3e564d63b66a989b,25/06/2023 23:52:22,ESCANER
